Year,Week,SKU,Category,Size,Total_Qty,Total_Amount,Avg_Price,Max_Price,Min_Price,Std_Price,Has_Promotion,Transaction_Count,Start_Date,End_Date,Week_ID,Date
2022,13,J0140-SET-XXL,Set,XXL,1,586.0,586.0,586.0,586.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0140-SET-XXXL,Set,3XL,1,586.0,586.0,586.0,586.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0142-KR-L,kurta,L,1,428.0,428.0,428.0,428.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0143-SET-A-L,Set,L,1,640.0,640.0,640.0,640.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0145-SET-XS,Set,XS,1,526.0,526.0,526.0,526.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0147-SET-XXL,Set,XXL,1,599.0,599.0,599.0,599.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0149-KR-XS,kurta,XS,1,315.0,315.0,315.0,315.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0151-KR-L,kurta,L,2,990.0,495.0,495.0,495.0,0.0,1,2,2022-03-31,2022-04-02,2022-W13,2022-03-31
2022,13,J0152-DR-S,Western Dress,S,2,2458.0,1229.0,1229.0,1229.0,0.0,1,2,2022-04-02,2022-04-03,2022-W13,2022-04-02
2022,13,J0153-DR-S,Western Dress,S,2,886.0,443.0,443.0,443.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0153-DR-XL,Western Dress,XL,1,443.0,443.0,443.0,443.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0153-DR-XS,Western Dress,XS,1,443.0,443.0,443.0,443.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
